cust_id-1,CUS_SEX_ID,CUS_STATE,CUS_RU_SINCE_DT,pais
260414,N,N/A,2021-11-25 08:55:31,N/A
159325,M,N/A,2019-02-22 21:31:07,N/A
142191,N,PARANÁ,2018-07-23 15:49:27,BRASIL
80598,N,MINAS GERAIS,2016-03-13 05:10:32,BRASIL
223403,N,N/A,2020-10-21 11:49:34,N/A
103879,N,SÃO PAULO,2017-03-22 14:48:34,BRASIL
17819,N,BAHIA,2010-04-05 20:38:39,BRASIL
82884,N,PARANÁ,2016-04-19 20:12:24,BRASIL
173496,N,N/A,2019-08-08 15:50:25,N/A
223737,N,N/A,2020-10-25 05:27:35,N/A
196037,N,PARANÁ,2020-04-08 02:28:23,BRASIL
72427,N,BAHIA,2015-10-15 16:06:26,BRASIL
150637,N,MINAS GERAIS,2018-11-06 13:51:51,BRASIL
245416,N,SÃO PAULO,2021-06-05 08:19:27,BRASIL
236593,N,RIO GRANDE DO NORTE,2021-03-09 15:55:27,BRASIL
158978,M,N/A,2019-02-18 07:36:08,N/A
173852,M,N/A,2019-08-12 13:11:45,N/A
71759,N,DISTRITO FEDERAL,2015-09-30 23:40:11,BRASIL
133632,N,MINAS GERAIS,2018-04-01 19:37:28,BRASIL
44611,N,PARANÁ,2013-10-17 08:47:22,BRASIL
126254,N,AMAZONAS,2018-01-04 15:32:00,BRASIL
227136,N,N/A,2020-11-28 11:31:12,N/A
245086,N,BAHIA,2021-06-01 16:01:17,BRASIL
145371,N,N/A,2018-08-30 21:30:48,N/A
90278,N,MINAS GERAIS,2016-08-14 09:40:33,BRASIL
208281,N,N/A,2020-07-04 06:47:48,N/A
208788,F,N/A,2020-07-05 08:42:47,N/A
18326,N,DISTRITO FEDERAL,2010-05-13 13:23:46,BRASIL
160031,F,N/A,2019-03-04 17:40:52,N/A
170392,M,N/A,2019-07-07 10:13:14,N/A
22831,N,MINAS GERAIS,2011-03-20 15:41:05,BRASIL
137039,M,N/A,2018-05-14 19:06:42,N/A
44110,N,MINAS GERAIS,2013-09-29 15:23:02,BRASIL
219005,M,N/A,2020-09-08 15:11:50,N/A
170901,N,N/A,2019-07-11 22:37:58,N/A
126577,N,SÃO PAULO,2018-01-08 07:41:09,BRASIL
229758,N,PARANÁ,2020-12-26 08:45:23,BRASIL
127895,N,N/A,2018-01-22 09:55:36,N/A
180922,N,N/A,2019-10-28 21:11:18,N/A
174005,M,ESPÍRITO SANTO,2019-08-14 08:26:31,BRASIL
126076,N,SÃO PAULO,2018-01-02 19:39:55,BRASIL
97769,N,N/A,2016-12-09 16:21:38,N/A
229420,N,N/A,2020-12-21 16:42:19,N/A
160489,N,N/A,2019-03-10 13:47:19,N/A
112478,N,SÃO PAULO,2017-07-17 23:15:34,BRASIL
23330,N,MARANHÃO,2011-04-22 11:53:33,BRASIL
160530,N,GOIÁS,2019-03-11 05:53:14,BRASIL
23152,N,RIO DE JANEIRO,2011-04-10 19:09:24,BRASIL
74863,N,BAHIA,2015-12-01 12:39:59,BRASIL
152276,M,N/A,2018-11-26 00:16:12,N/A
126165,N,TOCANTINS,2018-01-03 17:02:06,BRASIL
126755,N,SÃO PAULO,2018-01-09 20:11:20,BRASIL
164990,N,RIO DE JANEIRO,2019-05-05 19:52:13,BRASIL
103790,N,SÃO PAULO,2017-03-21 13:36:08,BRASIL
37269,N,SÃO PAULO,2013-01-14 14:48:55,BRASIL
201295,N,N/A,2020-05-23 18:23:48,N/A
201145,N,N/A,2020-05-22 23:45:24,N/A
252152,N,N/A,2021-08-19 22:06:46,N/A
66816,N,PIAUÍ,2015-06-22 09:28:38,BRASIL
247528,N,N/A,2021-06-28 11:45:41,N/A
82075,N,N/A,2016-04-06 19:20:30,N/A
15497,N,RIO DE JANEIRO,2009-09-16 15:36:47,BRASIL
118711,N,N/A,2017-10-04 16:06:33,N/A
238567,N,SÃO PAULO,2021-03-28 11:34:24,BRASIL
103573,N,N/A,2017-03-17 19:04:24,N/A
151664,M,N/A,2018-11-19 17:36:30,N/A
60376,N,PIAUÍ,2015-01-25 15:02:25,BRASIL
36232,M,N/A,2012-11-29 17:04:13,N/A
226637,M,N/A,2020-11-24 13:47:05,N/A
238058,N,N/A,2021-03-23 16:51:08,N/A
71910,N,PARÁ,2015-10-05 07:14:56,BRASIL
160699,N,N/A,2019-03-12 18:32:20,N/A
111955,N,SÃO PAULO,2017-07-11 08:17:46,BRASIL
255089,N,N/A,2021-09-26 11:13:36,N/A
80091,N,N/A,2016-03-04 17:08:10,N/A
188974,N,BAHIA,2020-01-18 00:59:05,BRASIL
72258,N,SÃO PAULO,2015-10-12 12:23:06,BRASIL
255370,N,N/A,2021-09-29 15:34:45,N/A
44984,N,SÃO PAULO,2013-10-30 21:15:44,BRASIL
89556,N,N/A,2016-08-02 10:30:12,N/A
109379,N,N/A,2017-06-07 13:32:26,N/A
119207,N,N/A,2017-10-10 18:12:50,N/A
15392,N,N/A,2009-09-08 23:04:45,N/A
215190,N,N/A,2020-08-05 09:57:11,N/A
252686,N,N/A,2021-08-26 16:35:49,N/A
97467,M,N/A,2016-12-05 05:30:48,N/A
8857,N,SÃO PAULO,2007-10-06 18:35:20,BRASIL
