cust_id-1;cripto_acc_status_id;CRIPTO_ACC_CREATED_DT_4GMT
192047;disabled;2021-12-16 11:31:37
236745;disabled;2021-12-21 14:11:58
146948;disabled;2021-12-22 15:56:23
139853;disabled;2021-12-12 17:42:13
230446;disabled;2021-12-14 12:18:26
259271;disabled;2021-12-20 12:43:50
204226;disabled;2021-12-26 19:20:26
174627;disabled;2021-12-14 17:12:36
257681;disabled;2021-12-27 12:12:07
256260;disabled;2021-12-23 12:41:43
99183;disabled;2021-12-22 11:08:14
174773;disabled;2021-12-14 13:08:15
230594;disabled;2021-12-20 12:28:11
202910;disabled;2021-12-30 11:39:37
260145;disabled;2021-12-17 10:46:12
138227;disabled;2021-12-18 06:19:38
230428;disabled;2021-11-11 18:25:07
197672;disabled;2021-12-07 11:36:58
88872;disabled;2021-12-08 00:59:24
194960;disabled;2021-12-08 21:58:40
177368;disabled;2021-12-10 14:25:58
252711;disabled;2021-12-10 16:55:00
164578;disabled;2021-12-11 02:07:23
179208;disabled;2021-12-11 18:23:42
57295;disabled;2021-12-12 02:48:18
257248;disabled;2021-12-12 08:19:05
110918;disabled;2021-12-12 11:29:14
156382;disabled;2021-12-12 11:52:14
111773;disabled;2021-12-13 12:24:27
249872;disabled;2021-12-13 12:30:22
224719;disabled;2021-12-13 14:52:25
66774;disabled;2021-12-13 15:27:52
152111;disabled;2021-12-13 16:15:53
136092;disabled;2021-12-13 16:36:55
179834;disabled;2021-12-13 16:37:58
194438;disabled;2021-12-13 17:47:43
252273;disabled;2021-12-13 23:14:36
92276;disabled;2021-12-14 08:58:42
139388;disabled;2021-12-14 15:41:44
232561;disabled;2021-12-14 19:38:08
72588;disabled;2021-12-14 21:39:12
171409;disabled;2021-12-14 22:10:20
246675;disabled;2021-12-15 04:45:04
260360;disabled;2021-12-15 05:47:37
237927;disabled;2021-12-15 07:14:07
204678;disabled;2021-12-15 08:15:11
218110;disabled;2021-12-15 11:07:35
29937;disabled;2021-12-15 12:01:44
151271;disabled;2021-12-15 14:47:08
229336;disabled;2021-12-15 16:21:26
42221;disabled;2021-12-15 16:38:23
51795;disabled;2021-12-15 17:15:29
247672;disabled;2021-12-15 17:49:39
72625;disabled;2021-12-15 17:55:59
44221;disabled;2021-12-15 17:59:01
101588;disabled;2021-12-15 18:19:08
256192;disabled;2021-12-15 18:42:14
145512;disabled;2021-12-15 18:52:21
242824;disabled;2021-12-15 20:36:02
199423;disabled;2021-12-15 23:53:17
204840;disabled;2021-12-16 02:06:20
150798;disabled;2021-12-16 06:15:29
212963;disabled;2021-12-16 09:01:54
236906;disabled;2021-12-16 10:13:53
189017;disabled;2021-12-16 10:58:40
232595;disabled;2021-12-16 14:41:14
160425;disabled;2021-12-16 15:14:29
254636;disabled;2021-12-16 16:22:58
107192;disabled;2021-12-16 16:26:11
153896;disabled;2021-12-16 17:21:04
261854;disabled;2021-12-16 17:21:38
234457;disabled;2021-12-16 17:41:56
247827;disabled;2021-12-16 20:03:22
178552;disabled;2021-12-17 05:33:48
218645;disabled;2021-12-17 06:43:08
138413;disabled;2021-12-17 10:45:01
248645;disabled;2021-12-17 17:38:24
227638;disabled;2021-12-18 07:11:27
257744;disabled;2021-12-18 07:47:13
