cust_id-1;CUS_SEX_ID;CUS_STATE;CUS_RU_SINCE_DT
260414;N;;2021-11-25 08:55:31
159325;M;;2019-02-22 21:31:07
142191;N;BR-PR;2018-07-23 15:49:27
80598;N;BR-MG;2016-03-13 05:10:32
223403;N;;2020-10-21 11:49:34
103879;N;BR-SP;2017-03-22 14:48:34
17819;N;BR-BA;2010-04-05 20:38:39
82884;N;BR-PR;2016-04-19 20:12:24
173496;N;;2019-08-08 15:50:25
223737;N;;2020-10-25 05:27:35
196037;N;BR-PR;2020-04-08 02:28:23
72427;N;BR-BA;2015-10-15 16:06:26
150637;N;BR-MG;2018-11-06 13:51:51
245416;N;BR-SP;2021-06-05 08:19:27
236593;N;BR-RN;2021-03-09 15:55:27
158978;M;;2019-02-18 07:36:08
173852;M;;2019-08-12 13:11:45
71759;N;BR-DF;2015-09-30 23:40:11
133632;N;BR-MG;2018-04-01 19:37:28
44611;N;BR-PR;2013-10-17 08:47:22
126254;N;BR-AM;2018-01-04 15:32:00
227136;N;;2020-11-28 11:31:12
245086;N;BR-BA;2021-06-01 16:01:17
145371;N;;2018-08-30 21:30:48
90278;N;BR-MG;2016-08-14 09:40:33
208281;N;;2020-07-04 06:47:48
208788;F;;2020-07-05 08:42:47
18326;N;BR-DF;2010-05-13 13:23:46
160031;F;;2019-03-04 17:40:52
170392;M;;2019-07-07 10:13:14
22831;N;BR-MG;2011-03-20 15:41:05
137039;M;;2018-05-14 19:06:42
44110;N;BR-MG;2013-09-29 15:23:02
219005;M;;2020-09-08 15:11:50
170901;N;;2019-07-11 22:37:58
126577;N;BR-SP;2018-01-08 07:41:09
229758;N;BR-PR;2020-12-26 08:45:23
127895;N;;2018-01-22 09:55:36
180922;N;;2019-10-28 21:11:18
174005;M;BR-ES;2019-08-14 08:26:31
126076;N;BR-SP;2018-01-02 19:39:55
97769;N;;2016-12-09 16:21:38
229420;N;;2020-12-21 16:42:19
160489;N;;2019-03-10 13:47:19
112478;N;BR-SP;2017-07-17 23:15:34
23330;N;BR-MA;2011-04-22 11:53:33
160530;N;BR-GO;2019-03-11 05:53:14
23152;N;BR-RJ;2011-04-10 19:09:24
74863;N;BR-BA;2015-12-01 12:39:59
152276;M;;2018-11-26 00:16:12
126165;N;BR-TO;2018-01-03 17:02:06
126755;N;BR-SP;2018-01-09 20:11:20
164990;N;BR-RJ;2019-05-05 19:52:13
103790;N;BR-SP;2017-03-21 13:36:08
37269;N;BR-SP;2013-01-14 14:48:55
201295;N;;2020-05-23 18:23:48
201145;N;;2020-05-22 23:45:24
252152;N;;2021-08-19 22:06:46
66816;N;BR-PI;2015-06-22 09:28:38
247528;N;;2021-06-28 11:45:41
82075;N;;2016-04-06 19:20:30
15497;N;BR-RJ;2009-09-16 15:36:47
118711;N;;2017-10-04 16:06:33
238567;N;BR-SP;2021-03-28 11:34:24
103573;N;;2017-03-17 19:04:24
151664;M;;2018-11-19 17:36:30
60376;N;BR-PI;2015-01-25 15:02:25
36232;M;;2012-11-29 17:04:13
226637;M;;2020-11-24 13:47:05
238058;N;;2021-03-23 16:51:08
71910;N;BR-PA;2015-10-05 07:14:56
160699;N;;2019-03-12 18:32:20
111955;N;BR-SP;2017-07-11 08:17:46
255089;N;;2021-09-26 11:13:36
80091;N;;2016-03-04 17:08:10
188974;N;BR-BA;2020-01-18 00:59:05
72258;N;BR-SP;2015-10-12 12:23:06
255370;N;;2021-09-29 15:34:45
44984;N;BR-SP;2013-10-30 21:15:44
89556;N;;2016-08-02 10:30:12
109379;N;;2017-06-07 13:32:26
119207;N;;2017-10-10 18:12:50
15392;N;;2009-09-08 23:04:45
215190;N;;2020-08-05 09:57:11
252686;N;;2021-08-26 16:35:49
97467;M;;2016-12-05 05:30:48
8857;N;BR-SP;2007-10-06 18:35:20
178938;N;;2019-10-05 20:15:06
62817;N;BR-RS;2015-03-24 17:55:35
218480;N;;2020-09-02 19:47:26
208176;N;BR-AC;2020-07-03 21:41:20
165594;M;;2019-05-13 10:38:59
67167;N;BR-SP;2015-06-29 20:34:15
89968;F;;2016-08-08 19:40:02
226486;N;;2020-11-23 10:16:25
100385;N;;2017-01-23 18:20:08
251985;N;;2021-08-18 10:17:49
237752;N;;2021-03-20 10:41:13
62618;N;BR-BA;2015-03-20 12:43:54
25693;N;;2011-08-25 08:34:41
54773;N;BR-SP;2014-09-10 20:42:35
252839;N;;2021-08-28 18:58:33
72464;N;BR-PE;2015-10-16 10:59:51
25844;N;BR-PR;2011-09-01 09:52:40
247571;N;;2021-06-28 18:47:38
112122;N;BR-PR;2017-07-13 08:48:45
117825;N;;2017-09-23 15:21:48
133622;M;BR-GO;2018-04-01 17:54:41
136683;M;;2018-05-10 07:30:58
178423;N;;2019-09-30 13:24:18
252661;N;;2021-08-26 11:14:48
89135;N;BR-SE;2016-07-26 19:11:56
90795;N;BR-SP;2016-08-22 19:18:04
119377;N;BR-SP;2017-10-13 08:13:30
215103;N;;2020-08-04 17:43:30
91129;N;BR-SP;2016-08-27 12:22:27
215602;N;BR-SP;2020-08-07 23:04:02
201501;N;;2020-05-24 21:10:48
45313;N;BR-BA;2013-11-11 19:15:16
209696;N;BR-RS;2020-07-07 10:57:09
218758;N;;2020-09-05 13:54:34
59612;N;;2015-01-06 21:36:52
36830;N;;2012-12-24 11:18:26
127034;M;;2018-01-12 21:53:12
136267;N;BR-AL;2018-05-04 20:48:28
30747;N;BR-SP;2012-04-24 09:30:00
218233;N;;2020-08-31 16:56:24
165239;F;;2019-05-08 17:51:47
26123;N;BR-BA;2011-09-14 20:48:40
180961;N;BR-SP;2019-10-29 09:43:12
187989;N;BR-RJ;2020-01-08 03:11:03
227250;N;;2020-11-29 16:37:43
179034;N;;2019-10-07 08:59:03
26274;N;BR-RS;2011-09-21 11:16:49
208436;N;;2020-07-04 12:22:00
152016;N;;2018-11-23 08:42:05
9017;N;BR-PA;2007-10-23 20:05:40
98029;N;BR-MA;2016-12-13 11:13:51
36307;N;;2012-12-03 10:25:57
90196;N;BR-MG;2016-08-12 12:02:36
223472;N;;2020-10-21 19:48:38
189223;M;BR-RJ;2020-01-20 20:53:03
173589;M;BR-MG;2019-08-09 13:53:46
90891;N;BR-RJ;2016-08-23 22:12:11
108782;N;;2017-05-30 17:12:28
180460;N;;2019-10-23 12:12:29
247624;N;BR-BA;2021-06-29 12:08:51
199684;N;;2020-05-12 07:40:24
174062;N;BR-SP;2019-08-14 16:51:47
37521;N;BR-MG;2013-01-24 17:08:44
237262;N;;2021-03-15 18:18:16
126094;N;BR-RJ;2018-01-02 23:40:31
22671;N;BR-RS;2011-03-11 11:38:07
246974;N;BR-SP;2021-06-21 21:01:19
89808;N;;2016-08-06 06:35:58
144502;N;BR-PR;2018-08-19 19:41:19
244990;M;BR-SP;2021-05-31 16:26:57
118088;N;;2017-09-26 17:46:54
187633;N;;2020-01-04 10:37:27
15483;N;BR-GO;2009-09-15 14:13:58
127123;N;BR-MS;2018-01-13 20:10:30
179187;M;BR-SC;2019-10-08 15:42:11
